"","School.Name","Total.Enrollment","X..Female","X..Male","elem","mid","high","Grade.1","Grade.2","Grade.3","Grade.4","Grade.5","Grade.6","Grade.7","Grade.8","Grade.9","Grade.10","Grade.11","Grade.12","X..Asian","X..Black","X..Hispanic","X..Multiple.Race.Categories.Not.Represented","X..White","X..Poverty"
"126","126",1143,516,627,0,1,1,0,0,0,0,0,149,159,178,184,176,159,138,17,226,887,5,8,1083
"127","127",2945,1410,1535,0,0,1,0,0,0,0,0,0,0,0,774,748,691,732,14,910,1939,42,40,2609
"128","128",2011,865,1146,0,0,1,0,0,0,0,0,0,0,0,585,611,441,374,29,547,1390,22,23,1851
"129","129",3314,1755,1559,1,1,1,247,246,245,237,236,228,218,227,361,353,218,257,33,1088,2143,39,11,2915
"130","130",1587,834,753,1,0,0,246,244,239,258,280,0,0,0,0,0,0,0,213,280,1038,35,21,1435
"131","131",2011,970,1041,0,1,0,0,0,0,0,0,659,675,677,0,0,0,0,157,409,1197,23,225,1777
"132","132",3606,1833,1773,0,1,1,0,0,0,0,0,593,623,574,609,514,372,321,15,1775,1764,24,28,3144
"133","133",1095,609,486,0,0,0,0,0,0,0,0,0,0,0,0,385,314,396,18,392,660,1,24,919
"134","134",1997,862,1135,0,0,1,0,0,0,0,0,0,0,0,630,575,481,311,103,489,1239,59,107,1559
"135","135",3808,2140,1668,0,1,1,0,0,0,0,0,470,460,462,668,676,547,525,48,903,2752,68,37,3416
"136","136",1934,903,1031,0,0,1,0,0,0,0,0,0,0,0,609,486,406,433,28,487,1350,20,49,1658
"137","137",3125,1693,1432,0,1,1,0,0,0,0,0,481,466,448,631,485,355,259,22,652,2403,8,40,2591
"138","138",1842,1288,554,0,0,1,0,0,0,0,0,0,0,0,632,524,393,293,19,573,1173,37,40,1580
"139","139",865,462,403,0,1,0,0,0,0,0,0,270,270,325,0,0,0,0,20,266,561,7,11,805
"140","140",2239,1046,1193,0,0,1,0,0,0,0,0,0,0,0,587,605,543,504,102,653,1282,30,172,1873
"141","141",1260,628,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,36,357,18,506,749
"142","142",826,425,401,0,0,0,0,0,0,0,0,0,0,0,0,392,279,155,3,648,150,19,6,709
"143","143",1910,746,1164,0,0,1,0,0,0,0,0,0,0,0,506,506,412,486,92,1515,212,32,59,1530
"144","144",3012,1447,1565,1,0,0,401,550,540,539,468,0,0,0,0,0,0,0,83,81,1884,109,855,1794
"145","145",1823,854,969,1,0,0,307,295,256,221,191,0,0,0,0,0,0,0,93,834,536,32,328,1208
"146","146",6967,3303,3664,1,1,1,729,732,720,712,569,550,530,497,551,343,202,113,43,6512,302,96,14,5381
"147","147",1000,400,600,0,0,1,0,0,0,0,0,0,0,0,128,238,273,361,16,838,105,18,23,808
"148","148",1310,725,585,1,0,0,233,204,163,142,113,0,0,0,0,0,0,0,15,986,153,31,125,888
"149","149",1110,538,572,1,0,0,183,186,198,204,181,0,0,0,0,0,0,0,23,861,205,10,11,856
